inbitrate,incodec,induration,inframerate,inframes,inheight,inwidth,insize,outbitrate,outcodec,outframerate,outheight,outwidth,utime
55552,mpeg4,98.683334,30,1184,144,176,48267,3000000,flv,12,144,176,0.268
55552,mpeg4,98.683334,12,1184,144,176,48267,3000000,flv,12,144,176,0.268
55552,mpeg4,98.683334,30,1184,144,176,48267,56000,flv,12,144,176,0.272
55552,mpeg4,98.683334,30,1184,144,176,48267,56000,flv,15,144,176,0.272
55552,mpeg4,98.683334,30,1184,144,176,48267,539000,flv,25,144,176,0.272
55552,mpeg4,98.683334,30,1184,144,176,48267,56000,flv,29.97,144,176,0.272
55552,mpeg4,98.683334,12,1184,144,176,48267,56000,flv,12,144,176,0.272
55552,mpeg4,98.683334,12,1184,144,176,48267,56000,flv,15,144,176,0.272
55552,mpeg4,98.683334,12,1184,144,176,48267,539000,flv,25,144,176,0.272
55552,mpeg4,98.683334,12,1184,144,176,48267,56000,flv,29.97,144,176,0.272
55552,mpeg4,98.683334,30,1184,144,176,48267,539000,flv,12,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,109000,flv,15,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,242000,flv,15,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,242000,flv,24,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,5000000,flv,24,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,820000,flv,25,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,539000,flv,12,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,109000,flv,15,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,242000,flv,15,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,242000,flv,24,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,5000000,flv,24,144,176,0.276
55552,mpeg4,98.683334,12,1184,144,176,48267,820000,flv,25,144,176,0.276
55552,mpeg4,98.683334,30,1184,144,176,48267,109000,flv,12,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,242000,flv,12,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,5000000,flv,12,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,539000,flv,15,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,56000,flv,24,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,539000,flv,24,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,820000,flv,24,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,3000000,flv,24,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,109000,flv,25,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,5000000,flv,25,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,3000000,flv,29.97,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,109000,flv,12,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,242000,flv,12,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,5000000,flv,12,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,539000,flv,15,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,56000,flv,24,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,539000,flv,24,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,820000,flv,24,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,3000000,flv,24,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,109000,flv,25,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,5000000,flv,25,144,176,0.28
55552,mpeg4,98.683334,12,1184,144,176,48267,3000000,flv,29.97,144,176,0.28
55552,mpeg4,98.683334,30,1184,144,176,48267,109000,flv,24,144,176,0.284
55552,mpeg4,98.683334,30,1184,144,176,48267,56000,flv,25,144,176,0.284
55552,mpeg4,98.683334,30,1184,144,176,48267,109000,flv,29.97,144,176,0.284
55552,mpeg4,98.683334,30,1184,144,176,48267,820000,flv,29.97,144,176,0.284
55552,mpeg4,98.683334,12,1184,144,176,48267,109000,flv,24,144,176,0.284
55552,mpeg4,98.683334,12,1184,144,176,48267,56000,flv,25,144,176,0.284
55552,mpeg4,98.683334,12,1184,144,176,48267,109000,flv,29.97,144,176,0.284
55552,mpeg4,98.683334,12,1184,144,176,48267,820000,flv,29.97,144,176,0.284
